id,update_date,title,abstract
0704.0158,2011-11-09,Complexities of Human Promoter Sequences,"  By means of the diffusion entropy approach, we detect the scale-invariance
characteristics embedded in the 4737 human promoter sequences. The exponent for
the scale-invariance is in a wide range of $[ {0.3,0.9} ]$, which centered at
$\delta_c = 0.66$. The distribution of the exponent can be separated into left
and right branches with respect to the maximum. The left and right branches are
asymmetric and can be fitted exactly with Gaussian form with different widths,
respectively.
"
0704.0331,2007-05-23,"Symmetries by base substitutions in the genetic code predict 2' or 3'
  aminoacylation of tRNAs","  This letter reports complete sets of two-fold symmetries between partitions
of the universal genetic code. By substituting bases at each position of the
codons according to a fixed rule, it happens that properties of the degeneracy
pattern or of tRNA aminoacylation specificity are exchanged.
"
0704.0357,2009-11-13,Evolutionary games on minimally structured populations,"  Population structure induced by both spatial embedding and more general
networks of interaction, such as model social networks, have been shown to have
a fundamental effect on the dynamics and outcome of evolutionary games. These
effects have, however, proved to be sensitive to the details of the underlying
topology and dynamics. Here we introduce a minimal population structure that is
described by two distinct hierarchical levels of interaction. We believe this
model is able to identify effects of spatial structure that do not depend on
the details of the topology. We derive the dynamics governing the evolution of
a system starting from fundamental individual level stochastic processes
through two successive meanfield approximations. In our model of population
structure the topology of interactions is described by only two parameters: the
effective population size at the local scale and the relative strength of local
dynamics to global mixing. We demonstrate, for example, the existence of a
continuous transition leading to the dominance of cooperation in populations
with hierarchical levels of unstructured mixing as the benefit to cost ratio
becomes smaller then the local population size. Applying our model of spatial
structure to the repeated prisoner's dilemma we uncover a novel and
counterintuitive mechanism by which the constant influx of defectors sustains
cooperation. Further exploring the phase space of the repeated prisoner's
dilemma and also of the ""rock-paper-scissor"" game we find indications of rich
structure and are able to reproduce several effects observed in other models
with explicit spatial embedding, such as the maintenance of biodiversity and
the emergence of global oscillations.
"
0704.3808,2009-11-13,On Gene Duplication Models for Evolving Regulatory Networks,"  Background: Duplication of genes is important for evolution of molecular
networks. Many authors have therefore considered gene duplication as a driving
force in shaping the topology of molecular networks. In particular it has been
noted that growth via duplication would act as an implicit way of preferential
attachment, and thereby provide the observed broad degree distributions of
molecular networks.
  Results: We extend current models of gene duplication and rewiring by
including directions and the fact that molecular networks are not a result of
unidirectional growth. We introduce upstream sites and downstream shapes to
quantify potential links during duplication and rewiring. We find that this in
itself generates the observed scaling of transcription factors for genome sites
in procaryotes. The dynamical model can generate a scale-free degree
distribution, p(k)&prop; 1/k^&gamma;, with exponent &gamma;=1 in the
non-growing case, and with &gamma;>1 when the network is growing.
  Conclusions: We find that duplication of genes followed by substantial
recombination of upstream regions could generate main features of genetic
regulatory networks. Our steady state degree distribution is however to broad
to be consistent with data, thereby suggesting that selective pruning acts as a
main additional constraint on duplicated genes. Our analysis shows that gene
duplication can only be a main cause for the observed broad degree
distributions, if there is also substantial recombinations between upstream
regions of genes.
"
0704.3826,2007-08-02,Non-coding DNA programs express adaptation and its universal law,"  Significant fraction (98.5% in humans) of most animal genomes is non- coding
dark matter. Its largely unknown function (1-5) is related to programming
(rather than to spontaneous mutations) of accurate adaptation to rapidly
changing environment. Programmed adaptation to the same universal law for
non-competing animals from anaerobic yeast to human is revealed in the study of
their extensively quantified mortality (6-21). Adaptation of animals with
removed non-coding DNA fractions may specify their contribution to genomic
programming. Emergence of new adaptation programs and their (non-Mendelian)
heredity may be studied in antibiotic mini-extinctions (22-24). On a large
evolutionary scale rapid universal adaptation was vital for survival, and
evolved, in otherwise lethal for diverse species major mass extinctions
(25-28). Evolutionary and experimental data corroborate these conclusions
(6-21, 29-32). Universal law implies certain biological universality of diverse
species, thus quantifies applicability of animal models to humans). Genomic
adaptation programming calls for unusual approach to its study and implies
unanticipated perspectives, in particular, directed biological changes.
"
0705.1232,2016-12-21,Nontrivial quantum effects in biology: A skeptical physicists' view,"  Invited contribution to ""Quantum Aspects of Life"", D. Abbott Ed. (World
Scientific, Singapore, 2007).
"
0705.1460,2007-05-23,Evolving inductive generalization via genetic self-assembly,"  We propose that genetic encoding of self-assembling components greatly
enhances the evolution of complex systems and provides an efficient platform
for inductive generalization, i.e. the inductive derivation of a solution to a
problem with a potentially infinite number of instances from a limited set of
test examples. We exemplify this in simulations by evolving scalable circuitry
for several problems. One of them, digital multiplication, has been intensively
studied in recent years, where hitherto the evolutionary design of only
specific small multipliers was achieved. The fact that this and other problems
can be solved in full generality employing self-assembly sheds light on the
evolutionary role of self-assembly in biology and is of relevance for the
design of complex systems in nano- and bionanotechnology.
"
0705.1548,2016-01-05,Dimensionality and dynamics in the behavior of C. elegans,"  A major challenge in analyzing animal behavior is to discover some underlying
simplicity in complex motor actions. Here we show that the space of shapes
adopted by the nematode C. elegans is surprisingly low dimensional, with just
four dimensions accounting for 95% of the shape variance, and we partially
reconstruct ""equations of motion"" for the dynamics in this space. These
dynamics have multiple attractors, and we find that the worm visits these in a
rapid and almost completely deterministic response to weak thermal stimuli.
Stimulus-dependent correlations among the different modes suggest that one can
generate more reliable behaviors by synchronizing stimuli to the state of the
worm in shape space. We confirm this prediction, effectively ""steering"" the
worm in real time.
"
0705.1974,2007-12-06,Risk perception in epidemic modeling,"  We investigate the effects of risk perception in a simple model of epidemic
spreading. We assume that the perception of the risk of being infected depends
on the fraction of neighbors that are ill. The effect of this factor is to
decrease the infectivity, that therefore becomes a dynamical component of the
model. We study the problem in the mean-field approximation and by numerical
simulations for regular, random and scale-free networks.
  We show that for homogeneous and random networks, there is always a value of
perception that stops the epidemics. In the ``worst-case'' scenario of a
scale-free network with diverging input connectivity, a linear perception
cannot stop the epidemics; however we show that a non-linear increase of the
perception risk may lead to the extinction of the disease. This transition is
discontinuous, and is not predicted by the mean-field analysis.
"
0705.3612,2007-05-25,Swimming with a friend at low Reynolds number,"  We investigate the hydrodynamic interactions between microorganisms swimming
at low Reynolds number. By considering simple model swimmers, and combining
analytic and numerical approaches, we investigate the time-averaged flow field
around a swimmer. At short distances the swimmer behaves like a pump. At large
distances the velocity field depends on whether the swimming stroke is
invariant under a combined time-reversal and parity transformation. We then
consider two swimmers and find that the interaction between them consists of
two parts; a dead term, independent of the motion of the second swimmer, which
takes the expected dipolar form and a live term resulting from the simultaneous
swimming action of both swimmers which does not. We argue that, in general, the
latter dominates. The swimmer--swimmer interaction is a complicated function of
their relative displacement, orientation and phase, leading to motion that can
be attractive, repulsive or oscillatory.
"
