id,update_date,title,abstract
0704.2244,2010-08-30,"Proving Regularity of the Minimal Probability of Ruin via a Game of
  Stopping and Control","  We reveal an interesting convex duality relationship between two problems:
(a) minimizing the probability of lifetime ruin when the rate of consumption is
stochastic and when the individual can invest in a Black-Scholes financial
market; (b) a controller-and-stopper problem, in which the controller controls
the drift and volatility of a process in order to maximize a running reward
based on that process, and the stopper chooses the time to stop the running
reward and rewards the controller a final amount at that time. Our primary goal
is to show that the minimal probability of ruin, whose stochastic
representation does not have a classical form as does the utility maximization
problem (i.e., the objective's dependence on the initial values of the state
variables is implicit), is the unique classical solution of its
Hamilton-Jacobi-Bellman (HJB) equation, which is a non-linear boundary-value
problem. We establish our goal by exploiting the convex duality relationship
between (a) and (b).
"
0705.0053,2008-12-10,Mutual Fund Theorems when Minimizing the Probability of Lifetime Ruin,"  We show that the mutual fund theorems of Merton (1971) extend to the problem
of optimal investment to minimize the probability of lifetime ruin. We obtain
two such theorems by considering a financial market both with and without a
riskless asset for random consumption. The striking result is that we obtain
two-fund theorems despite the additional source of randomness from consumption.
"
0705.1949,2009-05-06,Correlated multi-asset portfolio optimisation with transaction cost,"  We employ perturbation analysis technique to study multi-asset portfolio
optimisation with transaction cost. We allow for correlations in risky assets
and obtain optimal trading methods for general utility functions. Our
analytical results are supported by numerical simulations in the context of the
Long Term Growth Model.
"
0705.2097,2008-12-10,A simple algorithm based on fluctuations to play the market,"  In Biology, all motor enzymes operate on the same principle: they trap
favourable brownian fluctuations in order to generate directed forces and to
move. Whether it is possible or not to copy one such strategy to play the
market was the starting point of our investigations. We found the answer is
yes. In this paper we describe one such strategy and appraise its performance
with historical data from the European Monetary System (EMS), the US Dow Jones,
the german Dax and the french Cac40.
"
0706.0051,2008-12-10,"Optimal consumption from investment and random endowment in incomplete
  semimartingale markets","  We consider the problem of maximizing expected utility from consumption in a
constrained incomplete semimartingale market with a random endowment process,
and establish a general existence and uniqueness result using techniques from
convex duality. The notion of asymptotic elasticity of Kramkov and
Schachermayer is extended to the time-dependent case. By imposing no smoothness
requirements on the utility function in the temporal argument, we can treat
both pure consumption and combined consumption/terminal wealth problems, in a
common framework. To make the duality approach possible, we provide a detailed
characterization of the enlarged dual domain which is reminiscent of the
enlargement of $L^1$ to its topological bidual $(L^{\infty})^*$, a space of
finitely-additive measures. As an application, we treat the case of a
constrained It\^ o-process market-model.
"
0706.0468,2008-12-10,On the semimartingale property via bounded logarithmic utility,"  This paper provides a new version of the condition of Di Nunno et al. (2003),
Ankirchner and Imkeller (2005) and Biagini and \{O}ksendal (2005) ensuring the
semimartingale property for a large class of continuous stochastic processes.
Unlike our predecessors, we base our modeling framework on the concept of
portfolio proportions which yields a short self-contained proof of the main
theorem, as well as a counterexample, showing that analogues of our results do
not hold in the discontinuous setting.
"
0706.0474,2008-12-10,Stability of utility-maximization in incomplete markets,"  The effectiveness of utility-maximization techniques for portfolio management
relies on our ability to estimate correctly the parameters of the dynamics of
the underlying financial assets. In the setting of complete or incomplete
financial markets, we investigate whether small perturbations of the market
coefficient processes lead to small changes in the agent's optimal behavior
derived from the solution of the related utility-maximization problems.
Specifically, we identify the topologies on the parameter process space and the
solution space under which utility-maximization is a continuous operation, and
we provide a counterexample showing that our results are best possible, in a
certain sense. A novel result about the structure of the solution of the
utility-maximization problem where prices are modeled by continuous
semimartingales is established as an offshoot of the proof of our central
theorem.
"
0706.0478,2008-12-10,"Optimal Investment with an Unbounded Random Endowment and Utility-Based
  Pricing","  This paper studies the problem of maximizing the expected utility of terminal
wealth for a financial agent with an unbounded random endowment, and with a
utility function which supports both positive and negative wealth. We prove the
existence of an optimal trading strategy within a class of permissible
strategies -- those strategies whose wealth process is a supermartingale under
all pricing measures with finite relative entropy. We give necessary and
sufficient conditions for the absence of utility-based arbitrage, and for the
existence of a solution to the primal problem.
  We consider two utility-based methods which can be used to price contingent
claims. Firstly we investigate marginal utility-based price processes
(MUBPP's). We show that such processes can be characterized as local
martingales under the normalized optimal dual measure for the utility
maximizing investor. Finally, we present some new results on utility
indifference prices, including continuity properties and volume asymptotics for
the case of a general utility function, unbounded endowment and unbounded
contingent claims.
"
0706.0480,2008-12-02,Maximizing the Growth Rate under Risk Constraints,"  We investigate the ergodic problem of growth-rate maximization under a class
of risk constraints in the context of incomplete, It\^{o}-process models of
financial markets with random ergodic coefficients. Including {\em
value-at-risk} (VaR), {\em tail-value-at-risk} (TVaR), and {\em limited
expected loss} (LEL), these constraints can be both wealth-dependent(relative)
and wealth-independent (absolute). The optimal policy is shown to exist in an
appropriate admissibility class, and can be obtained explicitly by uniform,
state-dependent scaling down of the unconstrained (Merton) optimal portfolio.
This implies that the risk-constrained wealth-growth optimizer locally behaves
like a CRRA-investor, with the relative risk-aversion coefficient depending on
the current values of the market coefficients.
"
0706.0482,2010-03-17,"Stability of the utility maximization problem with random endowment in
  incomplete markets","  We perform a stability analysis for the utility maximization problem in a
general semimartingale model where both liquid and illiquid assets (random
endowments) are present. Small misspecifications of preferences (as modeled via
expected utility), as well as views of the world or the market model (as
modeled via subjective probabilities) are considered. Simple sufficient
conditions are given for the problem to be well-posed, in the sense the optimal
wealth and the marginal utility-based prices are continuous functionals of
preferences and probabilistic views.
"
