id,update_date,title,abstract
0807.1750,2012-08-14,"A Markovian growth dynamics on rooted binary trees evolving according to
  the Gompertz curve","  Inspired by biological dynamics, we consider a growth Markov process taking
values on the space of rooted binary trees, similar to the Aldous-Shields
model. Fix $n\ge 1$ and $\beta>0$. We start at time 0 with the tree composed of
a root only. At any time, each node with no descendants, independently from the
other nodes, produces two successors at rate $\beta(n-k)/n$, where $k$ is the
distance from the node to the root. Denote by $Z_n(t)$ the number of nodes with
no descendants at time $t$ and let $T_n = \beta^{-1} n \ln(n /\ln 4) + (\ln
2)/(2 \beta)$. We prove that $2^{-n} Z_n(T_n + n \tau)$, $\tau\in\bb R$,
converges to the Gompertz curve $\exp (- (\ln 2) e^{-\beta \tau})$. We also
prove a central limit theorem for the martingale associated to $Z_n(t)$.
"
1006.5366,2012-06-12,"""Not only defended but also applied"": The perceived absurdity of
  Bayesian inference","  The missionary zeal of many Bayesians of old has been matched, in the other
direction, by a view among some theoreticians that Bayesian methods are
absurd-not merely misguided but obviously wrong in principle. We consider
several examples, beginning with Feller's classic text on probability theory
and continuing with more recent cases such as the perceived Bayesian nature of
the so-called doomsday argument. We analyze in this note the intellectual
background behind various misconceptions about Bayesian statistics, without
aiming at a complete historical coverage of the reasons for this dismissal.
"
1006.5471,2020-10-27,"Cognitive Constructivism and the Epistemic Significance of Sharp
  Statistical Hypotheses in Natural Sciences","  This book presents our case in defense of a constructivist epistemological
framework and the use of compatible statistical theory and inference tools. The
basic metaphor of decision theory is the maximization of a gambler's expected
fortune, according to his own subjective utility, prior beliefs an learned
experiences. This metaphor has proven to be very useful, leading the
development of Bayesian statistics since its XX-th century revival, rooted on
the work of de Finetti, Savage and others. The basic metaphor presented in this
text, as a foundation for cognitive constructivism, is that of an
eigen-solution, and the verification of its objective epistemic status. The
FBST - Full Bayesian Significance Test - is the cornerstone of a set of
statistical tolls conceived to assess the epistemic value of such
eigen-solutions, according to their four essential attributes, namely,
sharpness, stability, separability and composability. We believe that this
alternative perspective, complementary to the one ofered by decision theory,
can provide powerful insights and make pertinent contributions in the context
of scientific research.
"
1006.5690,2010-06-30,"Sweave Documentation for ""Implementing Markov chain Monte Carlo:
  Estimating with confidence""","  This file is the Sweave documentation for the examples provided in Flegal, J.
M. and Jones, G. L. (2010), ""Implementing Markov chain Monte Carlo: Estimating
with confidence"", in Handbook of Markov Chain Monte Carlo, edited by Brooks,
S., Gelman, A., Jones, G., and Meng, X. published by Chapman & Hall/CRC Press.
"
1006.5831,2013-11-27,Statistical Inference in Dynamic Treatment Regimes,"  Dynamic treatment regimes are of growing interest across the clinical
sciences as these regimes provide one way to operationalize and thus inform
sequential personalized clinical decision making. A dynamic treatment regime is
a sequence of decision rules, with a decision rule per stage of clinical
intervention; each decision rule maps up-to-date patient information to a
recommended treatment. We briefly review a variety of approaches for using data
to construct the decision rules. We then review an interesting challenge, that
of nonregularity that often arises in this area. By nonregularity, we mean the
parameters indexing the optimal dynamic treatment regime are nonsmooth
functionals of the underlying generative distribution.
  A consequence is that no regular or asymptotically unbiased estimator of
these parameters exists. Nonregularity arises in inference for parameters in
the optimal dynamic treatment regime; we illustrate the effect of nonregularity
on asymptotic bias and via sensitivity of asymptotic, limiting, distributions
to local perturbations. We propose and evaluate a locally consistent Adaptive
Confidence Interval (ACI) for the parameters of the optimal dynamic treatment
regime. We use data from the Adaptive Interventions for Children with ADHD
study as an illustrative example. We conclude by highlighting and discussing
emerging theoretical problems in this area.
"
1007.0566,2011-06-22,Organisation of signal flow in directed networks,"  Confining an answer to the question whether and how the coherent operation of
network elements is determined by the the network structure is the topic of our
work. We map the structure of signal flow in directed networks by analysing the
degree of edge convergence and the overlap between the in- and output sets of
an edge. Definitions of convergence degree and overlap are based on the
shortest paths, thus they encapsulate global network properties. Using the
defining notions of convergence degree and overlapping set we clarify the
meaning of network causality and demonstrate the crucial role of chordless
circles. In real-world networks the flow representation distinguishes nodes
according to their signal transmitting, processing and control properties. The
analysis of real-world networks in terms of flow representation was in
accordance with the known functional properties of the network nodes. It is
shown that nodes with different signal processing, transmitting and control
properties are randomly connected at the global scale, while local connectivity
patterns depart from randomness. Grouping network nodes according to their
signal flow properties was unrelated to the network's community structure. We
present evidence that signal flow properties of small-world-like, real-world
networks can not be reconstructed by algorithms used to generate small-world
networks. Convergence degree values were calculated for regular oriented trees,
and its probability density function for networks grown with the preferential
attachment mechanism. For Erd\H{o}s-R\'enyi graphs we calculated both the
probability density function of convergence degrees and of overlaps.
"
1007.1094,2010-07-08,Hotelling's test for highly correlated data,"  This paper is motivated by the analysis of gene expression sets, especially
by finding differentially expressed gene sets between two phenotypes. Gene
$\log_2$ expression levels are highly correlated and, very likely, have
approximately normal distribution. Therefore, it seems reasonable to use
two-sample Hotelling's test for such data. We discover some unexpected
properties of the test making it different from the majority of tests
previously used for such data. It appears that the Hotelling's test does not
always reach maximal power when all marginal distributions are differentially
expressed. For highly correlated data its maximal power is attained when about
a half of marginal distributions are essentially different. For the case when
the correlation coefficient is greater than 0.5 this test is more powerful if
only one marginal distribution is shifted, omparing to the case when all
marginal distributions are equally shifted. Moreover, when the correlation
coefficient increases the power of Hotelling's test increases as well.
"
1007.1787,2010-07-13,"The two sample problem: Exact distributions, numerical solutions,
  simulations","  The work presented in this article suggests a solution to the two sample
problem. Keywords: Two sample problem, Welch-Aspin solution, Fisher-Behrens
problem, nuisance parameter, similarity, the Linnik phenomenon.
"
1007.3210,2010-07-20,"Development and Initial Validation of a Scale to Measure Instructors'
  Attitudes toward Concept-Based Teaching of Introductory Statistics in the
  Health and Behavioral Sciences","  Despite more than a decade of reform efforts, students continue to experience
difficulty understanding and applying statistical concepts. The predominant
focus of reform has been on content, pedagogy, technology and assessment, with
little attention to instructor characteristics. However, there is strong
theoretical and empirical evidence that instructors' attitudes impact the
quality of teaching and learning. The objective of this study was to develop
and initially validate a scale to measure instructors' attitudes toward
reform-oriented (or concept-based) teaching of introductory statistics in the
health and behavioral sciences, at the tertiary level. This scale will be
referred to as FATS (Faculty Attitudes Toward Statistics). Data were obtained
from 227 instructors (USA and international), and analyzed using factor
analysis, multidimensional scaling and hierarchical cluster analysis. The
overall scale consists of five sub-scales with a total of 25 items, and an
overall alpha of 0.89. Construct validity was established. Specifically, the
overall scale, and subscales (except perceived difficulty) plausibly
differentiated between low-reform and high-reform practice instructors.
Statistically significant differences in attitude were observed with respect to
age, but not gender, employment status, membership status in professional
organizations, ethnicity, highest academic qualification, and degree
concentration. This scale can be considered a reliable and valid measure of
instructors' attitudes toward reform-oriented (concept-based or constructivist)
teaching of introductory statistics in the health and behavioral sciences at
the tertiary level. These five dimensions influence instructors' attitudes.
Additional studies are required to confirm these structural and psychometric
properties.
"
1008.0740,2010-08-05,$L_p$-nested symmetric distributions,"  Tractable generalizations of the Gaussian distribution play an important role
for the analysis of high-dimensional data. One very general super-class of
Normal distributions is the class of $\nu$-spherical distributions whose random
variables can be represented as the product $\x = r\cdot \u$ of a uniformly
distribution random variable $\u$ on the $1$-level set of a positively
homogeneous function $\nu$ and arbitrary positive radial random variable $r$.
Prominent subclasses of $\nu$-spherical distributions are spherically symmetric
distributions ($\nu(\x)=\|\x\|_2$) which have been further generalized to the
class of $L_p$-spherically symmetric distributions ($\nu(\x)=\|\x\|_p$). Both
of these classes contain the Gaussian as a special case. In general, however,
$\nu$-spherical distributions are computationally intractable since, for
instance, the normalization constant or fast sampling algorithms are unknown
for an arbitrary $\nu$. In this paper we introduce a new subclass of
$\nu$-spherical distributions by choosing $\nu$ to be a nested cascade of
$L_p$-norms. This class is still computationally tractable, but includes all
the aforementioned subclasses as a special case. We derive a general expression
for $L_p$-nested symmetric distributions as well as the uniform distribution on
the $L_p$-nested unit sphere, including an explicit expression for the
normalization constant. We state several general properties of $L_p$-nested
symmetric distributions, investigate its marginals, maximum likelihood fitting
and discuss its tight links to well known machine learning methods such as
Independent Component Analysis (ICA), Independent Subspace Analysis (ISA) and
mixed norm regularizers. Finally, we derive a fast and exact sampling algorithm
for arbitrary $L_p$-nested symmetric distributions, and introduce the Nested
Radial Factorization algorithm (NRF), which is a form of non-linear ICA.
"
1008.0756,2012-05-02,"Phasetype distributions, autoregressive processes and overshoot","  Autoregressive processes are intensively studied in statistics and other
fields of applied stochastics. For many applications the overshoot and the
threshold-time are of special interest. When the upward innovations are in the
class of phasetype distributions we determine the joint distribution of this
two quantities and apply this result to problems of optimal stopping. Using a
principle of continuous fit this leads to explicit solutions.
"
1009.1732,2010-10-19,Extreme shock models: an alternative perspective,"  Extreme shock models have been introduced in Gut and H\""usler (1999) to study
systems that at random times are subject to shock of random magnitude. These
systems break down when some shock overcomes a given resistance level. In this
paper we propose an alternative approach to extreme shock models using
reinforced urn processes. As a consequence of this we are able to look at the
same problem under a Bayesian nonparametric perspective, providing the
predictive distribution of systems' defaults.
"
